f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
11883,-0.44,0.22,9.91,9.50,-33.00,19.33,21.00,-32.00,3.00,35.70,101274,-0.93
11906,-0.44,0.22,9.86,9.83,-32.17,19.17,23.00,-31.00,2.00,35.70,101271,-0.66
11929,-0.48,0.22,9.91,9.50,-32.67,19.50,22.00,-31.00,3.00,35.70,101267,-0.31
11952,-0.44,0.22,9.91,9.67,-32.50,19.83,22.00,-31.00,2.00,35.70,101274,-0.93
11979,-0.48,0.18,9.82,9.83,-33.33,19.67,23.00,-30.00,2.00,35.70,101267,-0.31
12002,-0.53,0.22,9.91,9.83,-33.00,19.83,21.00,-32.00,2.00,35.70,101277,-1.20
12024,-0.53,0.18,9.91,9.50,-33.00,19.50,22.00,-31.00,1.00,35.70,101277,-1.20
12048,-0.48,0.13,9.73,9.83,-32.67,19.50,23.00,-32.00,2.00,35.70,101284,-1.83
12070,-0.39,0.09,9.82,9.50,-32.50,19.67,22.00,-31.00,2.00,35.70,101280,-1.47
12094,-0.48,0.13,9.86,10.00,-32.83,20.00,22.00,-31.00,2.00,35.70,101274,-0.93
12116,-0.57,0.22,9.73,9.83,-32.83,19.67,22.00,-31.00,2.00,35.70,101277,-1.20
12143,-0.53,0.18,9.99,9.67,-33.17,19.67,22.00,-32.00,2.00,35.70,101271,-0.66
12167,-0.57,0.22,9.77,9.33,-32.67,19.50,23.00,-30.00,2.00,35.70,101277,-1.20
12189,-0.48,0.18,9.77,10.00,-32.50,19.50,21.00,-30.00,1.00,35.70,101284,-1.83
12213,-0.44,0.13,9.82,9.83,-32.50,19.83,22.00,-31.00,2.00,35.70,101274,-0.93
12235,-0.44,0.18,9.73,9.50,-32.83,20.00,22.00,-32.00,2.00,35.70,101280,-1.47
12271,-0.48,0.22,9.82,10.17,-33.33,19.83,21.00,-31.00,1.00,35.70,101280,-1.47
12301,-0.48,0.18,9.95,9.83,-32.50,19.33,21.00,-31.00,2.00,35.70,101267,-0.31
12323,-0.57,0.22,9.82,9.67,-32.67,19.83,22.00,-31.00,1.00,35.70,101271,-0.66
